16320439,1212.853655,Sell,Sushiswap
16320816,1211.02423,Sell,Sushiswap
16320292,1220.309191,Buy,Sushiswap
16320742,1212.272091,Sell,Sushiswap
16321033,1219.074544,Buy,Sushiswap
16320232,1212.82101,Sell,Sushiswap
16320475,1220.051047,Buy,Sushiswap
16320619,1220.255307,Buy,Sushiswap
16320806,1218.545357,Buy,Sushiswap
16320870,1218.28326,Buy,Sushiswap
16320925,1218.435398,Buy,Sushiswap
16320940,1218.445542,Buy,Sushiswap
16321073,1218.819931,Buy,Sushiswap
16320249,1220.138015,Buy,Sushiswap
16320287,1220.292214,Buy,Sushiswap
16320538,1220.107721,Buy,Sushiswap
16320538,1220.175992,Buy,Sushiswap
16320830,1218.105354,Buy,Sushiswap
16320950,1218.452014,Buy,Sushiswap
16320799,1218.527192,Buy,Sushiswap
16321017,1218.958386,Buy,Sushiswap
16320698,1220.642057,Buy,Sushiswap
16320702,1220.762633,Buy,Sushiswap
16320854,1218.271293,Buy,Sushiswap
16320861,1218.273194,Buy,Sushiswap
16320312,1220.192259,Buy,Sushiswap
16320777,1218.318967,Buy,Sushiswap
16320989,1218.819724,Buy,Sushiswap
16320651,1220.329835,Buy,Sushiswap
16320781,1218.323394,Buy,Sushiswap
16320882,1218.297143,Buy,Sushiswap
16320978,1218.783095,Buy,Sushiswap
16321111,1219.059708,Buy,Sushiswap
16320129,1220.008515,Buy,Sushiswap
16320525,1220.074129,Buy,Sushiswap
16321126,1219.235124,Buy,Sushiswap
16321126,1219.263074,Buy,Sushiswap
16320665,1220.354628,Buy,Sushiswap
16320842,1218.193381,Buy,Sushiswap
16320782,1218.325371,Buy,Sushiswap
16320783,1218.421594,Buy,Sushiswap
16321036,1211.619821,Sell,Sushiswap
16320908,1211.008283,Sell,Sushiswap
16320971,1218.612311,Buy,Sushiswap
16320988,1218.798791,Buy,Sushiswap
16320307,1212.938045,Sell,Sushiswap
16320319,1220.261926,Buy,Sushiswap
16320519,1212.764828,Sell,Sushiswap
16320679,1220.381288,Buy,Sushiswap
16320683,1220.464883,Buy,Sushiswap
16320722,1220.785314,Buy,Sushiswap
16320457,1220.013509,Buy,Sushiswap
16320735,1220.814273,Buy,Sushiswap
16320838,1218.155659,Buy,Sushiswap
16320851,1218.23134,Buy,Sushiswap
16320904,1218.319759,Buy,Sushiswap
16320992,1218.841039,Buy,Sushiswap
16321091,1218.89104,Buy,Sushiswap
16320286,1220.213465,Buy,Sushiswap
16320623,1220.310868,Buy,Sushiswap
16320909,1218.346162,Buy,Sushiswap
16320909,1218.422989,Buy,Sushiswap
